id,accepts_marketing,created_at,gender,first_name,last_name,email,phone_number,tax_exempt,order_count,total_spend,country,verified_email,new_vs_repeat,state
1,no,2022-01-24,male,Steven,Ward,stevenward@fakeshopify.com,(323)406-0355x415,no,5,601.9399853991928,Grenada,yes,repeat,OR
2,no,2022-03-31,female,Patricia,Diaz,patriciadiaz@fakeshopify.com,001-368-493-5679,no,6,474.4470197035422,Russian Federation,no,repeat,NY
3,no,2022-04-25,female,Stephanie,Scott,stephaniescott@fakeshopify.com,924.539.6472x58455,yes,4,596.9030434712633,Iraq,yes,repeat,NY
4,no,2022-05-17,male,Daniel,Harris,danielharris@fakeshopify.com,780.867.3750,no,4,565.6518393490034,Morocco,no,repeat,MA
5,no,2022-02-08,male,Michael,May,michaelmay@fakeshopify.com,(495)154-5765x5406,yes,4,666.6298155613382,Yemen,no,repeat,TX
6,no,2022-01-23,male,Michael,Davis,michaeldavis@fakeshopify.com,+1-324-579-7330x27009,no,3,148.0788371331957,Syrian Arab Republic,no,repeat,NJ
7,yes,2022-01-15,male,Brandon,Elliott,brandonelliott@fakeshopify.com,+1-557-646-7683,no,6,471.8542264297246,El Salvador,no,repeat,NJ
8,no,2022-04-24,female,Jessica,Palmer,jessicapalmer@fakeshopify.com,(103)854-7568,no,7,752.7051981886209,Costa Rica,no,repeat,TX
9,no,2022-05-03,female,Laura,Morales,lauramorales@fakeshopify.com,565.575.2109,yes,8,884.0784938548031,Turkmenistan,no,repeat,NY
10,no,2022-04-09,male,Carlos,Kline,carloskline@fakeshopify.com,489-400-1996x48052,yes,6,611.3360009372329,Bulgaria,no,repeat,MA
11,yes,2022-02-17,female,Linda,Howard,lindahoward@fakeshopify.com,+1-182-473-6303x424,yes,0,0,Kuwait,yes,new,NJ
12,no,2022-04-18,male,Timothy,Moore,timothymoore@fakeshopify.com,001-042-782-0326x9576,yes,5,401.71689421263443,Brazil,no,repeat,NJ
13,yes,2022-02-19,female,Pamela,Moyer,pamelamoyer@fakeshopify.com,691-876-3776x74727,no,5,387.28884719621215,Ethiopia,no,repeat,NJ
14,no,2022-05-14,female,Tiffany,Jones,tiffanyjones@fakeshopify.com,001-388-614-2243x72925,no,7,471.6458573873315,Montenegro,no,repeat,TX
15,no,2022-03-04,male,Jeffery,Brown,jefferybrown@fakeshopify.com,001-511-098-7645x62389,yes,0,0,Falkland Islands (Malvinas),no,new,OR
16,no,2022-03-22,male,Henry,Zimmerman,henryzimmerman@fakeshopify.com,754.515.2476x4048,yes,0,0,French Southern Territories,no,new,MA
17,no,2022-04-17,female,Pamela,Martin,pamelamartin@fakeshopify.com,171.618.6921x5126,no,4,795.3785966263674,Bosnia and Herzegovina,yes,repeat,CA
18,no,2022-03-21,male,Paul,Butler,paulbutler@fakeshopify.com,(614)928-3591x2555,yes,0,0,Faroe Islands,yes,new,MA
19,no,2022-02-21,male,Andre,Garcia,andregarcia@fakeshopify.com,+1-216-437-4029,yes,9,877.3879047445047,Cambodia,no,repeat,OR
20,no,2022-05-19,female,Sandra,Nelson,sandranelson@fakeshopify.com,158.777.2840x7452,yes,1,229.41228701330368,Romania,no,new,NJ
